group_var,group,n_rows,pos_rate,AUC_row,Brier_row,ECE,n_bins
gender,M,127493,0.009937800506694485,0.8409929148143109,0.009798380921327775,0.001975714576143043,15
gender,F,104924,0.009044641835995577,0.839164917399543,0.00887453911687347,0.001774648225416116,15
