group_var,group,n_rows,pos_rate,avg_precision_aucpr,operating_point_top_frac,threshold,TPR_at_op,FPR_at_op,TP,FP,TN,FN
gender,F,104924,0.009044641835995577,0.054353631952823514,0.009534586540571472,0.06476651619226206,0.07692307692307693,0.0076845395527771095,73,799,103176,876
gender,M,127493,0.009937800506694485,0.05768469981859498,0.009534586540571472,0.06476651619226206,0.0931333859510655,0.009720659768985788,118,1227,124999,1149
