model_label,w_cap,eps_ipcw,auc_train,auc_test,brier_test,ece_test,frac_clipped
baseline_no_ipcw,,,0.8358494389616812,0.839573388360638,0.009322765395389586,0.0012218287779867099,0.0
ipcw_train_cap20,20.0,1e-06,0.8360934850591171,0.840915981727913,0.009343667350087232,0.001662341308813218,0.6564255689123523
ipcw_train_cap50,50.0,1e-06,0.8350153849193052,0.8404845466472504,0.009381315140896209,0.0018849437384518568,0.4917126868283482
ipcw_train_cap100,100.0,1e-06,0.833507382836457,0.8393774541905985,0.0094267234393669,0.0021277164107901497,0.3909368219010533
