scenario_id,scenario_label,run_deltaS_mech_T_eval_policy,run_deltaS_mech_T_policy,run_deltaS_shock_T_eval_policy,run_deltaS_shock_T_policy,grid_n_cfg,grid_mech_Tpolicy_min,grid_mech_Tpolicy_median,grid_mech_Tpolicy_max,grid_mech_Teval_min,grid_mech_Teval_median,grid_mech_Teval_max,grid_shock_Tpolicy_median,grid_shock_Teval_median,grid_mech_Tpolicy_pos_rate,grid_mech_Teval_pos_rate,grid_shock_Tpolicy_pos_rate,grid_shock_Teval_pos_rate,run_mech_weaker_than_shock_both,run_mech_negative_both,grid_mech_weaker_than_shock_median_both,grid_vs_run_sign_mismatch_T_policy,grid_vs_run_sign_mismatch_T_eval_policy
anchored_conservative,Conservative anchored,-0.0062370532004405,-0.0006035298138894,0.0095891118405617,0.0102358742459327,72,0.0013810069842404,0.0028799264617344004,0.0047248581834257,0.000620175402798,0.0012411409296548,0.0025537060723536,0.000484468431512,0.000273126079889,1.0,1.0,1.0,1.0,1,1,0,1,1
hypothetical_A,Hypothetical A,-0.0062370532004405,-0.0006035298138894,0.0242734700924219,0.0259601394875199,72,0.0013810069842404,0.0028799264617344004,0.0047248581834257,0.000620175402798,0.0012411409296548,0.0025537060723536,0.0012140144974013,0.000683387570207,1.0,1.0,1.0,1.0,1,1,0,1,1
hypothetical_B,Hypothetical B,-0.0062370532004405,-0.0006035298138894,0.0759755783913861,0.081945541516026,72,0.0013810069842404,0.0028799264617344004,0.0047248581834257,0.000620175402798,0.0012411409296548,0.0025537060723536,0.0036706175143927,0.0020558864154621,1.0,1.0,1.0,1.0,1,1,1,1,1
