horizon,group,mean_S_base,mean_S_policy
T_policy,F,0.8646202647558378,0.8889953856896856
T_policy,M,0.8542253827801225,0.8766040493615198
T_eval,F,0.8283160991005738,0.8516642494606802
T_eval,M,0.8155151796698635,0.837979326980803
