anchor_variant,n_rows_train,n_rows_test,cens_event_rate_train,cens_event_rate_test,auc_censoring_train,auc_censoring_test,ipcw_w_train_median,ipcw_w_train_p95,ipcw_w_test_median,ipcw_w_test_p95,share_capped_train,share_capped_test,t_eval_metrics_proxy,g_min_ipcw_probe
current,542878,232417,0.032500856546037966,0.03253634630857467,0.9290770449763809,0.9298856103752213,20.0,20.0,20.0,20.0,0.6564255689123523,0.6576197094016358,14,0.05
trim1_non_event,527493,225843,0.033448785102361545,0.03348343760931266,0.9145624665013048,0.916282021329894,20.0,20.0,20.0,20.0,0.5046303931995306,0.5028847473687473,21,0.05
trim2_non_event,512230,219316,0.03444546395174043,0.03447992850498824,0.9141710654598004,0.9155307039311811,19.57465112628872,20.0,19.430088338163745,20.0,0.49584952072311267,0.4944737274070291,20,0.05
