model,AUC_row_test,C_index_discrete_T_eval,IPCW_Brier_T_eval,IPCW_IBS_0_T_eval,n_numeric,n_categorical,n_features_total
Full,0.8395745704228937,0.39507072414363226,0.3392438323138303,0.17465225647902322,6,6,12
No Recency/Streak,0.7987313898117949,0.3637007421115802,0.37277269560961346,0.17716514916763443,4,6,10
No Activity (total_clicks),0.8263494667750488,0.33687008526530576,0.3530130824339442,0.17805091179628235,5,6,11
