week,G_hat_mean,G_hat_median,G_hat_p10,G_hat_p90
0,0.21510431894199228,0.15522346724689629,0.06292215669359448,0.4264829198324353
1,0.18977351290065209,0.1273338685360157,0.04845606230690978,0.40663926648035503
2,0.1638136252550864,0.10541812271231826,0.034619830847647755,0.3652062978990134
3,0.14217620667279346,0.08746129669693972,0.025277618399893103,0.3253993806397499
4,0.12484139263169272,0.07368885531203435,0.018502170393800494,0.29321928227882516
5,0.11184749329645688,0.06362919728945263,0.013945089282007168,0.2687856568919202
6,0.09910150764239227,0.053980445854890806,0.010048741373341668,0.24362770425387537
7,0.08886335534739412,0.045777054524637456,0.007408370002562029,0.22252564894635013
8,0.08110967074900254,0.04013033840253597,0.005848839731703273,0.20390514509279192
9,0.07374221061482406,0.03494637714580026,0.004408360322881115,0.18721016288705847
10,0.06913626954580707,0.03175132697865886,0.0035719897137016813,0.176360473922614
11,0.06543232769520393,0.029180808558765738,0.002919548147035936,0.16835158085059834
12,0.06041914403512077,0.025621184961901054,0.0022407070958058188,0.15683421303262718
13,0.055067386498017463,0.021859039527408478,0.0017320863392866885,0.14424823311091828
14,0.05116228738111131,0.01918119278877694,0.0013462247215122642,0.13312074349113331
15,0.047227866529215984,0.016680269417785484,0.001044716486664791,0.12321405114052855
16,0.04437299060228084,0.014730383059375702,0.0008304370440443041,0.11565929258003645
17,0.041626720040062584,0.013101166004967937,0.0006415454535005578,0.10907269301600928
18,0.038738677862200775,0.011158241784085577,0.00047905070987084734,0.10260640341742074
19,0.03679522906478358,0.009920470447900781,0.0003778626979411816,0.09717017488553659
20,0.034501052317489185,0.008517091595577219,0.000280301407379797,0.09171097012489086
21,0.03217758941332028,0.007197722379182356,0.00020085722665447276,0.08541844521139555
22,0.030288393537931786,0.006184923302049592,0.00014550406942173086,0.07958983974564394
23,0.028570427902657777,0.005251703962876996,0.00010467343735383012,0.07436477105857611
24,0.026914700341338166,0.004467513304944587,7.624897832738795e-05,0.0699144266234369
25,0.025862642291977284,0.004073196830829888,5.877714770009808e-05,0.06628411759557558
26,0.024749849901162652,0.0036253841042385637,4.7194323805687046e-05,0.06293657913864852
27,0.023188562449332442,0.003045899059515294,3.3366200630814105e-05,0.05758272975836058
28,0.02153300371595372,0.0024142303561734742,2.1019873800932133e-05,0.052866687424256355
29,0.019943980121956154,0.0018830701321552478,1.3417582249430384e-05,0.04806622383665176
30,0.018071610639453117,0.0013420854522501588,7.29109847938875e-06,0.04268573233415024
31,0.014237163826588935,0.0005711624604695159,1.8037473603227319e-06,0.0302962199767367
32,0.009749924571996527,0.00015031409141923242,2.842403060251869e-07,0.01647178790392015
33,0.006371678527066164,2.8629865611406768e-05,4.3222122787225076e-08,0.008278404967800685
34,0.003484362794327739,2.7082263167319914e-06,3.6294347491210046e-09,0.0027072975370886947
35,0.0031153104721194963,9.676235337236389e-07,2.186697720871095e-09,0.0021786610297660396
36,0.0015538918818818882,1.2139488161130662e-07,1.0842922104687383e-10,0.0007508651616429066
37,0.0003872331781231879,5.009786781294705e-09,1.5518462246260184e-12,0.00010505833356582649
38,9.655357196080185e-06,3.393404979229411e-11,1.3808017212327484e-15,1.2678800475546413e-06
39,0.0015647956031604265,0.0015647956031604265,0.0015647956031604265,0.0015647956031604265
40,0.0015647956031588615,0.0015647956031588615,0.0015647956031588615,0.0015647956031588615
41,0.0015647956031572966,0.0015647956031572966,0.0015647956031572966,0.0015647956031572966
42,0.0015647956031557316,0.0015647956031557316,0.0015647956031557316,0.0015647956031557316
43,0.0015647956031541667,0.0015647956031541667,0.0015647956031541667,0.0015647956031541667
44,0.0015647956031526018,0.0015647956031526018,0.0015647956031526018,0.0015647956031526018
45,0.0015647956031510368,0.0015647956031510368,0.0015647956031510368,0.0015647956031510368
46,0.0015647956031494732,0.0015647956031494732,0.0015647956031494732,0.0015647956031494732
47,0.0015647956031479083,0.0015647956031479083,0.0015647956031479083,0.0015647956031479083
48,0.0015647956031463433,0.0015647956031463433,0.0015647956031463433,0.0015647956031463433
49,0.0015647956031447784,0.0015647956031447784,0.0015647956031447784,0.0015647956031447784
50,0.0015647956031432134,0.0015647956031432134,0.0015647956031432134,0.0015647956031432134
51,0.0015647956031416485,0.0015647956031416485,0.0015647956031416485,0.0015647956031416485
52,0.0015647956031400836,0.0015647956031400836,0.0015647956031400836,0.0015647956031400836
53,0.0015647956031385186,0.0015647956031385186,0.0015647956031385186,0.0015647956031385186
54,0.0015647956031369537,0.0015647956031369537,0.0015647956031369537,0.0015647956031369537
55,0.0015647956031353888,0.0015647956031353888,0.0015647956031353888,0.0015647956031353888
56,0.0015647956031338253,0.0015647956031338253,0.0015647956031338253,0.0015647956031338253
57,0.0015647956031322604,0.0015647956031322604,0.0015647956031322604,0.0015647956031322604
58,0.0015647956031306955,0.0015647956031306955,0.0015647956031306955,0.0015647956031306955
59,0.0015647956031291305,0.0015647956031291305,0.0015647956031291305,0.0015647956031291305
60,0.0015647956031275656,0.0015647956031275656,0.0015647956031275656,0.0015647956031275656
61,0.0015647956031260006,0.0015647956031260006,0.0015647956031260006,0.0015647956031260006
62,0.0015647956031244357,0.0015647956031244357,0.0015647956031244357,0.0015647956031244357
63,0.0015647956031228708,0.0015647956031228708,0.0015647956031228708,0.0015647956031228708
