covariate,coef,se(coef),p,HR
total_clicks,-0.002646153681030378,0.00011534317251120629,1.788501255540295e-116,0.9973573442975449
studied_credits,0.003455976119441483,0.00024400900666275035,1.5453186531337676e-45,1.0034619548904231
num_of_prev_attempts,0.044460234226053864,0.020916668686550108,0.03353752282154034,1.0454634022225184
week,-7.2948307033211e-16,0.0013193387399349935,0.9999999999995588,0.9999999999999992
